"","F1","Precision","Recall","Thresholds"
"F1",0.141592920353982,0.080503144654088,0.587155963302752,0.1
"F11",0.141097424412094,0.0803571428571429,0.577981651376147,0.105
"F12",0.138165345413364,0.0788113695090439,0.559633027522936,0.11
"F13",0.139588100686499,0.0797385620915033,0.559633027522936,0.115
"F14",0.140552995391705,0.080368906455863,0.559633027522936,0.12
"F15",0.137209302325581,0.0785619174434088,0.541284403669725,0.125
"F16",0.133645955451348,0.0766129032258065,0.522935779816514,0.13
"F17",0.132858837485172,0.0762942779291553,0.513761467889908,0.135
"F18",0.126340882002384,0.0726027397260274,0.486238532110092,0.14
"F19",0.127557160048135,0.0734072022160665,0.486238532110092,0.145
"F110",0.127864897466827,0.0736111111111111,0.486238532110092,0.15
"F111",0.128640776699029,0.0741258741258741,0.486238532110092,0.155
"F112",0.124390243902439,0.0717299578059072,0.467889908256881,0.16
"F113",0.125,0.0721357850070721,0.467889908256881,0.165
"F114",0.125461254612546,0.0724431818181818,0.467889908256881,0.17
"F115",0.121437422552664,0.0702005730659026,0.44954128440367,0.175
"F116",0.122042341220423,0.0706051873198847,0.44954128440367,0.18
"F117",0.122653316645807,0.0710144927536232,0.44954128440367,0.185
"F118",0.123115577889447,0.0713245997088792,0.44954128440367,0.19
"F119",0.123581336696091,0.0716374269005848,0.44954128440367,0.195
"F120",0.121673003802281,0.0705882352941176,0.440366972477064,0.2
"F121",0.122448979591837,0.0711111111111111,0.440366972477064,0.205
"F122",0.120822622107969,0.070254110612855,0.431192660550459,0.21
"F123",0.121290322580645,0.0705705705705706,0.431192660550459,0.215
"F124",0.121919584954604,0.0709969788519638,0.431192660550459,0.22
"F125",0.120261437908497,0.0701219512195122,0.422018348623853,0.225
"F126",0.120576671035387,0.0703363914373089,0.422018348623853,0.23
"F127",0.121372031662269,0.0708782742681048,0.422018348623853,0.235
"F128",0.122015915119363,0.0713178294573643,0.422018348623853,0.24
"F129",0.117647058823529,0.0688575899843505,0.403669724770642,0.245
"F130",0.118279569892473,0.0692913385826772,0.403669724770642,0.25
"F131",0.116847826086957,0.0685805422647528,0.394495412844037,0.255
"F132",0.117647058823529,0.0691318327974277,0.394495412844037,0.26
"F133",0.118131868131868,0.0694668820678514,0.394495412844037,0.265
"F134",0.118620689655172,0.0698051948051948,0.394495412844037,0.27
"F135",0.119278779472954,0.0702614379084967,0.394495412844037,0.275
