"","F1","Precision","Recall","Thresholds"
"F1",0.157194679564692,0.0905292479108635,0.596330275229358,0.1
"F11",0.154574132492114,0.0933333333333333,0.44954128440367,0.2
"F12",0.160919540229885,0.101694915254237,0.385321100917431,0.3
"F13",0.170114942528736,0.113496932515337,0.339449541284404,0.4
"F14",0.178272980501393,0.128,0.293577981651376,0.5
"F15",0.188311688311688,0.14572864321608,0.26605504587156,0.6
"F16",0.218623481781377,0.195652173913043,0.247706422018349,0.7
"F17",0.203125,0.68421052631579,0.119266055045872,0.8
"F18",0.0535714285714286,1,0.0275229357798165,0.9
"F19",NA,NA,0,1
