"","F1","Precision","Recall","FPR","Thresholds","PerformanceFolder","auc","samples","Model","AUC"
"F1",0.04,0.1,0.03,0.303225806451613,0.1,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F11",0.04,0.1,0.03,0.303225806451613,0.2,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F12",0.04,0.1,0.03,0.219354838709677,0.3,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F13",0.04,0.1,0.03,0.161290322580645,0.4,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F14",0.04,0.1,0.03,0.141935483870968,0.5,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F15",0.05,0.1,0.03,0.109677419354839,0.6,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F16",0.05,0.2,0.03,0.0774193548387097,0.7,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F17",0.05,0.3,0.03,0.0387096774193548,0.8,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F18",0.05,0.5,0.03,0.0193548387096774,0.9,"_105samples_2_5_resnet50",0.0261644623346751,105,"ResNet50 Binary",0.0261644623346751
"F19",0.04,0.1,0.03,0.303225806451613,0.1,"_105samples_3_5_resnet50",0.0264519838987924,105,"ResNet50 Binary",0.0264519838987924
"F111",0.04,0.1,0.03,0.303225806451613,0.2,"_105samples_3_5_resnet50",0.0264519838987924,105,"ResNet50 Binary",0.0264519838987924
"F121",0.04,0.1,0.03,0.303225806451613,0.3,"_105samples_3_5_resnet50",0.0264519838987924,105,"ResNet50 Binary",0.0264519838987924
"F131",0.04,0.1,0.03,0.180645161290323,0.4,"_105samples_3_5_resnet50",0.0264519838987924,105,"ResNet50 Binary",0.0264519838987924
"F141",0.04,0.1,0.03,0.141935483870968,0.5,"_105samples_3_5_resnet50",0.0264519838987924,105,"ResNet50 Binary",0.0264519838987924
"F151",0.05,0.2,0.03,0.103225806451613,0.6,"_105samples_3_5_resnet50",0.0264519838987924,105,"ResNet50 Binary",0.0264519838987924
