Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	1323.444	1332.494	400	1600	S19_20180214_060002	SVM	0.154	Gibbons
2	Spectrogram 1	1	3697.993	3714.814	400	1600	S19_20180214_060002	SVM	0.201	Gibbons
3	Spectrogram 1	1	4092.976	4109.037	400	1600	S19_20180214_060002	SVM	0.157	Gibbons
4	Spectrogram 1	1	4307.744	4317.244	400	1600	S19_20180214_060002	SVM	0.235	Gibbons
5	Spectrogram 1	1	4349.885	4357.245	400	1600	S19_20180214_060002	SVM	0.226	Gibbons
6	Spectrogram 1	1	4380.716	4403.507	400	1600	S19_20180214_060002	SVM	0.2495	Gibbons
7	Spectrogram 1	1	4425.008	4429.708	400	1600	S19_20180214_060002	SVM	0.432	Gibbons
8	Spectrogram 1	1	4442.448	4458.359	400	1600	S19_20180214_060002	SVM	0.175	Gibbons
9	Spectrogram 1	1	4469.239	4484.57	400	1600	S19_20180214_060002	SVM	0.2485	Gibbons
10	Spectrogram 1	1	4500	4513.86	400	1600	S19_20180214_060002	SVM	0.517	Gibbons
11	Spectrogram 1	1	4528.001	4533.921	400	1600	S19_20180214_060002	SVM	0.21	Gibbons
12	Spectrogram 1	1	4544.291	4549.112	400	1600	S19_20180214_060002	SVM	0.19	Gibbons
13	Spectrogram 1	1	4563.302	4576.383	400	1600	S19_20180214_060002	SVM	0.229	Gibbons
14	Spectrogram 1	1	4591.293	4597.573	400	1600	S19_20180214_060002	SVM	0.183	Gibbons
15	Spectrogram 1	1	4602.793	4610.524	400	1600	S19_20180214_060002	SVM	0.211	Gibbons
16	Spectrogram 1	1	4616.024	4630.714	400	1600	S19_20180214_060002	SVM	0.526	Gibbons
17	Spectrogram 1	1	4958.035	4977.356	400	1600	S19_20180214_060002	SVM	0.175	Gibbons
18	Spectrogram 1	1	5552.005	5558.465	400	1600	S19_20180214_060002	SVM	0.165	Gibbons
19	Spectrogram 1	1	5719.081	5731.551	400	1600	S19_20180214_060002	SVM	0.881	Gibbons
20	Spectrogram 1	1	5745.392	5757.002	400	1600	S19_20180214_060002	SVM	0.385	Gibbons
21	Spectrogram 1	1	5825.554	5837.355	400	1600	S19_20180214_060002	SVM	0.257	Gibbons
22	Spectrogram 1	1	5914.027	5927.958	400	1600	S19_20180214_060002	SVM	0.782	Gibbons
23	Spectrogram 1	1	5940.598	5945.388	400	1600	S19_20180214_060002	SVM	0.294	Gibbons
24	Spectrogram 1	1	5952.098	5970.309	400	1600	S19_20180214_060002	SVM	0.439	Gibbons
25	Spectrogram 1	1	6000	6009.45	400	1600	S19_20180214_060002	SVM	0.318	Gibbons
26	Spectrogram 1	1	6032.731	6056.372	400	1600	S19_20180214_060002	SVM	0.315	Gibbons
27	Spectrogram 1	1	6061.612	6067.082	400	1600	S19_20180214_060002	SVM	0.158	Gibbons
28	Spectrogram 1	1	6079.973	6098.253	400	1600	S19_20180214_060002	SVM	0.207	Gibbons
29	Spectrogram 1	1	6190.046	6194.937	400	1600	S19_20180214_060002	SVM	0.164	Gibbons
30	Spectrogram 1	1	6226.108	6233.918	400	1600	S19_20180214_060002	SVM	0.372	Gibbons
31	Spectrogram 1	1	6262.709	6266.869	400	1600	S19_20180214_060002	SVM	0.201	Gibbons
32	Spectrogram 1	1	6300	6308.79	400	1600	S19_20180214_060002	SVM	0.689	Gibbons
33	Spectrogram 1	1	6352.422	6357.792	400	1600	S19_20180214_060002	SVM	0.165	Gibbons
34	Spectrogram 1	1	6404.934	6413.564	400	1600	S19_20180214_060002	SVM	0.165	Gibbons
35	Spectrogram 1	1	6422.764	6426.434	400	1600	S19_20180214_060002	SVM	0.163	Gibbons
36	Spectrogram 1	1	6441.075	6456.265	400	1600	S19_20180214_060002	SVM	0.367	Gibbons
37	Spectrogram 1	1	6520.227	6527.778	400	1600	S19_20180214_060002	SVM	0.264	Gibbons
38	Spectrogram 1	1	6546.578	6551.648	400	1600	S19_20180214_060002	SVM	0.305	Gibbons
39	Spectrogram 1	1	6926.101	6938.972	400	1600	S19_20180214_060002	SVM	0.201	Gibbons
40	Spectrogram 1	1	6995.465	7007.086	400	1600	S19_20180214_060002	SVM	0.774	Gibbons
