Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	24.561	46.112	400	1600	S19_20180214_080003	SVM	0.167	Gibbons
2	Spectrogram 1	1	109.954	121.614	400	1600	S19_20180214_080003	SVM	0.991	Gibbons
3	Spectrogram 1	1	176.656	189.236	400	1600	S19_20180214_080003	SVM	0.269	Gibbons
4	Spectrogram 1	1	1418.797	1442.148	400	1600	S19_20180214_080003	SVM	0.649	Gibbons
5	Spectrogram 1	1	1614.884	1631.414	400	1600	S19_20180214_080003	SVM	0.512	Gibbons
6	Spectrogram 1	1	1662.895	1678.186	400	1600	S19_20180214_080003	SVM	0.281	Gibbons
7	Spectrogram 1	1	1729.498	1748.878	400	1600	S19_20180214_080003	SVM	0.336	Gibbons
8	Spectrogram 1	1	1765.339	1770.169	400	1600	S19_20180214_080003	SVM	0.284	Gibbons
9	Spectrogram 1	1	1800	1806.35	400	1600	S19_20180214_080003	SVM	0.469	Gibbons
10	Spectrogram 1	1	1825.381	1830.421	400	1600	S19_20180214_080003	SVM	0.266	Gibbons
11	Spectrogram 1	1	1833.801	1845.642	400	1600	S19_20180214_080003	SVM	0.181	Gibbons
12	Spectrogram 1	1	3509.497	3514.677	400	1600	S19_20180214_080003	SVM	0.158	Gibbons
13	Spectrogram 1	1	3725.974	3750.535	400	1600	S19_20180214_080003	SVM	0.298	Gibbons
14	Spectrogram 1	1	4241.081	4253.102	400	1600	S19_20180214_080003	SVM	0.204	Gibbons
15	Spectrogram 1	1	4832.611	4842.741	400	1600	S19_20180214_080003	SVM	0.153	Gibbons
16	Spectrogram 1	1	5896.537	5900.867	400	1600	S19_20180214_080003	SVM	0.162	Gibbons
17	Spectrogram 1	1	6202.687	6217.537	400	1600	S19_20180214_080003	SVM	0.197	Gibbons
