"","Recorder","Date","Month","Hour"
"1","R1064",2022-11-18,11,"06"
"2","R1064",2022-11-13,11,"06"
"3","R1060",2023-02-02,2,"10"
"4","R1053",2022-10-20,10,"09"
"5","R1059",2023-04-28,4,"06"
"6","R1059",2023-10-04,10,"05"
"7","R1060",2023-10-13,10,"05"
"8","R1060",2024-01-30,1,"06"
"9","R1059",2022-05-23,5,"05"
"10","R1024",2022-04-17,4,"05"
"11","R1050",2022-11-15,11,"05"
"12","R1025",2024-01-16,1,"06"
"13","R1025",2023-03-01,3,"06"
"14","R1064",2022-12-14,12,"06"
"15","R1060",2022-07-04,7,"06"
"16","R1062",2023-01-10,1,"06"
"17","R1063",2023-06-14,6,"08"
"18","R1064",2023-03-31,3,"09"
"19","R1059",2022-11-12,11,"12"
"20","R1062",2022-04-03,4,"07"
"21","R1062",2023-04-28,4,"06"
"22","R1050",2022-05-29,5,"05"
"23","R1060",2023-05-27,5,"06"
"24","R1059",2024-03-05,3,"05"
"25","R1063",2023-09-17,9,"05"
"26","R1059",2024-03-26,3,"05"
"27","R1024",2023-01-01,1,"06"
"28","R1060",2023-06-15,6,"05"
"29","R1059",2024-01-08,1,"06"
"30","R1060",2022-12-20,12,"06"
"31","R1050",2022-11-19,11,"05"
"32","R1060",2023-03-12,3,"06"
"33","R1059",2023-12-12,12,"09"
"34","R1062",2023-10-22,10,"08"
"35","R1023",2023-03-12,3,"06"
"36","R1024",2023-01-21,1,"06"
"37","R1023",2023-09-27,9,"06"
"38","R1064",2022-06-30,6,"13"
"39","R1050",2023-03-12,3,"06"
"40","R1025",2022-05-04,5,"05"
"41","R1050",2023-03-26,3,"05"
"42","R1060",2022-04-18,4,"09"
"43","R1025",2022-08-17,8,"05"
"44","R1064",2023-04-01,4,"05"
"45","R1060",2023-03-25,3,"06"
"46","R1025",2024-01-26,1,"12"
"47","R1064",2023-05-26,5,"05"
"48","R1059",2023-12-15,12,"06"
"49","R1060",2024-02-04,2,"06"
"50","R1064",2022-07-30,7,"06"
"51","R1025",2022-04-24,4,"05"
"52","R1060",2022-04-04,4,"05"
"53","R1064",2022-06-21,6,"05"
"54","R1060",2022-05-06,5,"05"
"55","R1053",2022-04-14,4,"05"
"56","R1053",2022-11-15,11,"05"
"57","R1059",2023-12-06,12,"08"
"58","R1064",2023-03-31,3,"05"
"59","R1050",2022-11-01,11,"05"
"60","R1064",2023-08-20,8,"05"
"61","R1062",2022-03-31,3,"06"
"62","R1025",2023-03-06,3,"06"
"63","R1062",2024-01-20,1,"06"
"64","R1050",2023-09-07,9,"06"
"65","R1025",2023-12-27,12,"06"
"66","R1062",2023-01-01,1,"06"
"67","R1059",2023-01-26,1,"06"
"68","R1064",2023-07-04,7,"05"
"69","R1060",2023-01-26,1,"06"
"70","R1024",2022-04-24,4,"05"
"71","R1024",2022-05-05,5,"05"
"72","R1025",2022-06-10,6,"07"
"73","R1059",2022-04-13,4,"05"
"74","R1062",2022-06-30,6,"08"
"75","R1062",2022-03-19,3,"05"
"76","R1023",2023-03-10,3,"06"
"77","R1050",2023-02-12,2,"06"
"78","R1064",2022-07-04,7,"06"
"79","R1024",2022-03-26,3,"06"
"80","R1064",2022-05-23,5,"08"
"81","R1060",2023-06-10,6,"05"
"82","R1063",2022-04-13,4,"05"
"83","R1025",2022-03-22,3,"05"
"84","R1064",2023-07-05,7,"06"
"85","R1025",2024-01-16,1,"06"
"86","R1050",2022-11-20,11,"06"
"87","R1059",2022-10-11,10,"06"
"88","R1050",2022-11-15,11,"06"
"89","R1059",2023-10-21,10,"06"
"90","R1063",2023-09-29,9,"09"
"91","R1064",2022-04-11,4,"07"
"92","R1064",2022-10-02,10,"11"
"93","R1060",2023-11-02,11,"06"
"94","R1025",2023-02-05,2,"06"
"95","R1062",2023-05-01,5,"07"
"96","R1060",2022-08-02,8,"05"
"97","R1060",2023-03-03,3,"06"
"98","R1053",2022-06-08,6,"05"
"99","R1064",2023-07-26,7,"05"
"100","R1025",2022-06-03,6,"05"
"101","R1063",2022-06-14,6,"05"
"102","R1053",2022-03-24,3,"06"
"103","R1064",2022-05-23,5,"05"
"104","R1063",2023-06-28,6,"06"
"105","R1050",2022-11-20,11,"06"
"106","R1025",2023-01-22,1,"06"
"107","R1059",2022-12-10,12,"09"
"108","R1060",2022-04-21,4,"05"
"109","R1064",2023-04-30,4,"07"
"110","R1064",2023-05-07,5,"05"
"111","R1024",2023-01-29,1,"10"
"112","R1024",2022-06-20,6,"05"
"113","R1064",2023-04-10,4,"05"
"114","R1059",2023-12-10,12,"05"
"115","R1064",2023-04-12,4,"05"
"116","R1062",2023-03-30,3,"05"
"117","R1064",2022-10-30,10,"05"
"118","R1059",2023-03-05,3,"05"
"119","R1050",2022-04-04,4,"10"
